sample_id,date,mode,mode_short,sample_group,claim_id,claim_text,claim_type,claim_role,entity,value,unit,support_status,support_type,trace_support_type,mismatch_type,error_type,confidence,checker_reason,supporting_evidence_ids,aligned_evidence_ids,boundary_violation_count,mode_quality_score,mode_grounding_rate,mode_unsupported_count,mode_numeric_count,report_path,quality_summary_path,trace_summary_path,boundary_summary_path,human_is_checker_correct,human_correct_label,human_comment
S001,2023-10-16,M1_direct_llm,M1,unsupported_or_mismatch,claim_0023,这些事件反映了掘进过程中刀盘负载的瞬时波动，但根据现有数据，不能将其直接归因于前方地质异常。,forward_segment,forward_attention,,,,unsupported,none,none,overclaim,E1_UNSUPPORTED_CLAIM,0.0,未找到对应的前方分段结构化证据。,,,0,69,0.7333,12,8,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M1_direct_llm\boundary_summary.json,,,
S002,2023-11-30,M1_direct_llm,M1,unsupported_or_mismatch,claim_0037,- **注意：** 该字段单位疑似为“%”或报警量，需结合原始数据字典确认。,unknown,general_report_claim,,,,unsupported,none,none,numeric_or_metric_mismatch,E11_HEADING_FALSE_POSITIVE,0.0,,,,1,54,0.5306,23,12,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-30\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-30\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-30\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-30\M1_direct_llm\boundary_summary.json,,,
S003,2023-11-16,M1_direct_llm,M1,unsupported_or_mismatch,claim_0023,*   **数据质量：** 良好。,unknown,general_report_claim,,,,unsupported,none,none,overclaim,E11_HEADING_FALSE_POSITIVE,0.0,,,,0,74,0.7609,11,2,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-16\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-16\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-16\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-16\M1_direct_llm\boundary_summary.json,,,
S004,2023-10-25,M2_raw_evidence_llm,M2,unsupported_or_mismatch,claim_0055,*   **过程监控：** 持续关注 PLC 数据中的停机比例和扭矩变化，作为判断前方地质条件变化的重要辅助指标。,forward_segment,forward_attention,PLC,,,unsupported,none,none,overclaim,E1_UNSUPPORTED_CLAIM,0.0,未找到对应的前方分段结构化证据。,,,2,69,0.7447,12,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-25\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-25\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-25\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-25\M2_raw_evidence_llm\boundary_summary.json,,,
S005,2023-12-09,M2_raw_evidence_llm,M2,unsupported_or_mismatch,claim_0004,**工程名称：** 伯舒拉岭隧道进口右线,unknown,general_report_claim,,,,unsupported,none,none,overclaim,E11_HEADING_FALSE_POSITIVE,0.0,,,,0,69,0.7742,7,0,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-09\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-09\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-09\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-09\M2_raw_evidence_llm\boundary_summary.json,,,
S006,2023-11-18,M2_raw_evidence_llm,M2,unsupported_or_mismatch,claim_0048,- 该区域未形成有效地质证据覆盖，不宜据此判断为低风险。,unknown,general_report_claim,,,,unsupported,none,none,overclaim,E11_HEADING_FALSE_POSITIVE,0.0,,,,0,74,0.6957,14,5,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-18\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-18\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-18\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-18\M2_raw_evidence_llm\boundary_summary.json,,,
S007,2023-09-18,M3_twin_evidence_pack_llm,M3,unsupported_or_mismatch,claim_0055,*   **分段关注提示:**,unknown,general_report_claim,,,,unsupported,none,none,overclaim,E11_HEADING_FALSE_POSITIVE,0.0,,,,1,69,0.746,16,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-18\M3_twin_evidence_pack_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-18\M3_twin_evidence_pack_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-18\M3_twin_evidence_pack_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-18\M3_twin_evidence_pack_llm\boundary_summary.json,,,
S008,2023-09-27,M3_twin_evidence_pack_llm,M3,unsupported_or_mismatch,claim_0004,**工程名称：** 伯舒拉岭隧道进口右线,unknown,general_report_claim,,,,unsupported,none,none,overclaim,E11_HEADING_FALSE_POSITIVE,0.0,,,,0,74,0.7959,10,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-27\M3_twin_evidence_pack_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-27\M3_twin_evidence_pack_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-27\M3_twin_evidence_pack_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-27\M3_twin_evidence_pack_llm\boundary_summary.json,,,
S009,2023-09-29,M3_twin_evidence_pack_llm,M3,unsupported_or_mismatch,claim_0059,5.  **建议**：后续施工应重点关注掘进效率的提升，并针对前方不良地质做好充分的支护准备和应急预案。,forward_segment,forward_attention,,,,unsupported,none,none,overclaim,E1_UNSUPPORTED_CLAIM,0.0,未找到对应的前方分段结构化证据。,,,0,69,0.74,13,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-29\M3_twin_evidence_pack_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-29\M3_twin_evidence_pack_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-29\M3_twin_evidence_pack_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-29\M3_twin_evidence_pack_llm\boundary_summary.json,,,
S010,2023-11-11,M4_full_twin_governance_trace_boundary_reviser,M4,unsupported_or_mismatch,claim_0061,2. 已掘区段（DK1013+960–DK1013+970）地质-施工响应耦合关注度为低等级，施工参数与地质条件基本匹配，但围岩破碎、稳定性较差的问题仍需持续关注。,geology_cell,general_report_claim,围岩破碎,1013.0,,unsupported,none,none,scope_mismatch,E1_UNSUPPORTED_CLAIM,0.0,未找到与该 DK 区段对应的 key_cell。,,,0,70,0.7593,13,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-11\M4_full_twin_governance_trace_boundary_reviser\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-11\M4_full_twin_governance_trace_boundary_reviser\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-11\M4_full_twin_governance_trace_boundary_reviser\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-11\M4_full_twin_governance_trace_boundary_reviser\boundary_summary.json,,,
