error_type,claim_type,claim_text,mismatch_type,reason,date,mode
E10_NUMERIC_VALUE_UNGROUNDED,unknown,**日期：** 2023年12月13日,overclaim,,2023-12-13,M1_direct_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,*   **掘进里程范围：** DK1014+390 ~ DK1014+410,scope_mismatch,,2023-12-13,M1_direct_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,*   数据采样间隔中位数为 20 秒，数据连续性较好。,overclaim,,2023-12-13,M1_direct_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,*   **均值：** 167.11,overclaim,,2023-12-13,M1_direct_llm
E1_UNSUPPORTED_CLAIM,unknown,好的，作为一名 TBM 施工日报撰写助手，我将根据您提供的输入数据，生成一份符合要求的中文 TBM 施工日报。,overclaim,,2023-12-13,M2_raw_evidence_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,*   **掘进里程：** 起始里程 DK1014+390，结束里程 DK1014+410。,scope_mismatch,,2023-12-13,M2_raw_evidence_llm
E12_METHOD_BOUNDARY_STATEMENT,method_boundary,当前 PLC 数据未区分计划停机与非计划停机，该指标仅作为施工响应关注信号，不直接归因于设备故障。,none,方法边界/生成约束说明，按 policy_support 支撑。,2023-12-13,M2_raw_evidence_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,*   **DK1014+390 ~ DK1014+400 区段：**,scope_mismatch,,2023-12-13,M2_raw_evidence_llm
E1_UNSUPPORTED_CLAIM,unknown,好的，作为一名受 Evidence Pack 约束的 TBM 施工状态报告撰写助手，我将严格依据您提供的 Twin Evidence Pack 生成中文 TBM 施工日报。,overclaim,,2023-12-13,M3_twin_evidence_pack_llm
E1_UNSUPPORTED_CLAIM,geology_cell,已掘区段（DK1014+390 ~ DK1014+410）的地质-施工响应耦合复核显示：DK1014+390 ~ DK1014+400 区段耦合关注度为中等（GRCI=0.51），主要地质关注为围岩极破碎、掉块、裂隙密集；,scope_mismatch,未找到与该 DK 区段对应的 key_cell。,2023-12-13,M3_twin_evidence_pack_llm
E1_UNSUPPORTED_CLAIM,geology_cell,DK1014+400 ~ DK1014+410 区段耦合关注度为低（GRCI=0.45），主要地质关注为软硬不均、围岩极破碎。,scope_mismatch,未找到与该 DK 区段对应的 key_cell。,2023-12-13,M3_twin_evidence_pack_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,- **DK1014+390 ~ DK1014+400 区段**：地质-施工响应耦合关注度为中等。,scope_mismatch,,2023-12-13,M3_twin_evidence_pack_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,当日 PLC 数据聚类识别出 3 个施工状态：,overclaim,,2023-12-13,M4_full_twin_governance_trace_boundary_reviser
E10_NUMERIC_VALUE_UNGROUNDED,unknown,**日期：** 2023年09月29日,overclaim,,2023-09-29,M1_direct_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,**报告范围：** DK1013+260 至 DK1013+400,scope_mismatch,,2023-09-29,M1_direct_llm
E10_NUMERIC_VALUE_UNGROUNDED,unknown,*   **掘进里程范围：** DK1013+366 至 DK1013+367,scope_mismatch,,2023-09-29,M1_direct_llm
